region_id,2011_Census_All_incomes_not_stated_Couple_family_with_One_child,2011_Census_All_incomes_not_stated_Couple_family_with_Two_children,2011_Census_All_incomes_not_stated_Couple_family_with_Three_children,2011_Census_All_incomes_not_stated_Couple_family_with_Four_or_more_children,2011_Census_All_incomes_not_stated_Couple_family_with_Total,2011_Census_Total_Couple_family_with_One_child,2011_Census_Total_Couple_family_with_Two_children,2011_Census_Total_Couple_family_with_Three_children,2011_Census_Total_Couple_family_with_Four_or_more_children,2011_Census_Total_Couple_family_with_Total
20803,63,88,22,10,183,4966,6387,2094,439,13886
20804,16,18,20,5,59,1580,2248,955,196,4979
20901,62,84,26,12,184,5432,6841,2371,620,15264
20902,75,62,27,10,174,3830,4079,1398,426,9733
20903,41,41,25,3,110,2910,4884,2006,525,10325
20904,172,189,84,35,480,8410,10680,4043,1295,24428
21001,50,39,20,3,112,2681,3226,1265,276,7448
21002,21,23,11,0,55,1166,1672,771,240,3849
21003,48,51,19,23,141,2782,3243,1210,599,7834
21004,25,31,15,9,80,1667,2267,916,279,5129
21005,124,155,81,71,431,5930,7613,3684,1929,19156
21101,113,141,42,18,314,7382,9612,3498,961,21453
21102,18,17,13,3,51,1163,1823,845,204,4035
21103,64,86,33,6,189,4606,5750,2359,618,13333
21104,34,30,8,5,77,2754,3504,1150,273,7681
21105,117,146,74,19,356,6329,8346,3571,1108,19354
21201,64,84,23,11,182,3235,4280,1925,717,10157
21202,99,114,60,21,294,5919,8180,3022,1184,18305
21203,109,138,60,31,338,6243,8004,3186,1480,18913
21204,173,165,80,55,473,8516,8564,3098,1292,21470
21205,105,89,21,7,222,8133,9644,2674,610,21061
21301,229,186,94,58,567,8475,9373,3738,1307,22893
21302,63,60,21,10,154,3634,4407,1452,470,9963
21303,60,46,13,9,128,3201,3121,910,297,7529
21304,81,112,64,24,281,5955,7846,3134,1013,17948
21305,132,139,59,39,369,8541,9693,3647,1421,23302
21401,94,88,46,22,250,5363,6328,2364,764,14819
21402,104,117,46,18,285,5311,7125,2792,837,16065
21501,44,31,16,9,100,2111,2398,1119,417,6045
21502,46,38,25,12,121,1828,2099,1086,423,5436
21503,32,21,15,18,86,1314,1346,832,379,3871
21601,23,29,14,12,78,1290,1463,811,327,3891
21602,23,20,23,6,72,985,1018,610,278,2891
21603,39,62,28,17,146,2279,2711,1231,566,6787
21701,14,16,13,3,46,1337,1577,712,230,3856
21702,53,48,29,17,147,3037,3564,1978,777,9356
29797,0,0,0,0,0,0,0,0,0,0
30101,35,40,20,3,98,3259,4153,1611,505,9528
30102,52,53,18,6,129,3291,4229,1650,472,9642
30103,43,37,11,4,95,3000,3612,1211,387,8210
30201,20,19,9,6,54,1816,2229,799,241,5085
30202,39,46,16,3,104,2739,3064,1115,330,7248
30203,13,16,7,0,36,1511,1435,474,172,3592
30204,29,27,6,5,67,2355,2543,923,275,6096
30301,14,23,19,3,59,2076,2660,1011,274,6021
30302,27,24,3,3,57,2432,2607,969,263,6271
30303,25,30,8,6,69,3019,3370,1295,374,8058
30304,14,15,6,8,43,1529,1706,616,186,4037
30305,32,40,15,5,92,2741,3163,1142,452,7498
30306,28,22,8,5,63,2309,2342,797,365,5813
30401,17,16,6,4,43,1740,2222,685,175,4822
30402,12,20,5,4,41,2036,3133,1256,303,6728
30403,15,9,4,3,31,1596,1921,775,198,4490
30404,19,21,3,0,43,2128,2761,1025,286,6200
30501,16,7,8,0,31,1466,1051,322,71,2910
30502,11,11,3,4,29,1435,1779,628,154,3996
30503,14,29,8,3,54,2605,3102,1208,304,7219
30504,18,15,14,3,50,1833,2430,984,246,5493
30601,32,26,8,3,69,2077,2504,840,282,5703
30602,60,52,36,28,176,3492,3588,1441,735,9256
30603,28,21,18,7,74,1274,1246,563,332,3415
30604,9,4,6,4,23,380,405,160,53,998
30605,31,38,14,10,93,1288,1431,631,332,3682
30701,39,38,25,10,112,1598,1778,1007,426,4809
30702,28,33,10,10,81,1457,1655,839,468,4419
30703,31,35,10,12,88,1395,1482,742,395,4014
30801,24,29,19,9,81,1196,1480,760,325,3761
30802,62,60,27,15,164,3139,3678,1606,619,9042
30803,75,65,30,28,198,4298,4648,2020,868,11834
30901,41,34,7,0,82,2120,2195,657,171,5143
30902,25,29,9,5,68,1961,2054,739,204,4958
30903,39,21,5,6,71,2281,2187,639,212,5319
30904,11,20,5,6,42,757,800,340,121,2018
30905,14,26,9,3,52,1482,1946,776,230,4434
30906,40,44,21,3,108,2984,3459,1288,428,8159
30907,67,90,30,15,202,4351,5682,2131,775,12939
30908,33,24,7,0,64,2033,2190,657,191,5071
30909,42,29,9,7,87,2159,2101,692,210,5162
