region_id,2011_Census_75_79_years_Not_Married_Males,2011_Census_75_79_years_Not_Married_Females,2011_Census_75_79_years_Total_Males,2011_Census_75_79_years_Total_Females,2011_Census_75_79_years_Total_Persons,2011_Census_80_84_years_Married_in_a_registered_marriage_Males,2011_Census_80_84_years_Married_in_a_registered_marriage_Females,2011_Census_80_84_years_Married_in_a_de_facto_marriage_Males,2011_Census_80_84_years_Married_in_a_de_facto_marriage_Females,2011_Census_80_84_years_Not_Married_Males,2011_Census_80_84_years_Not_Married_Females,2011_Census_80_84_years_Total_Males,2011_Census_80_84_years_Total_Females,2011_Census_80_84_years_Total_Persons,2011_Census_85_years_and_over_Married_in_a_registered_marriage_Males,2011_Census_85_years_and_over_Married_in_a_registered_marriage_Females,2011_Census_85_years_and_over_Married_in_a_de_facto_marriage_Males,2011_Census_85_years_and_over_Married_in_a_de_facto_marriage_Females,2011_Census_85_years_and_over_Not_Married_Males,2011_Census_85_years_and_over_Not_Married_Females,2011_Census_85_years_and_over_Total_Males,2011_Census_85_years_and_over_Total_Females,2011_Census_85_years_and_over_Total_Persons,2011_Census_Total_Married_in_a_registered_marriage_Males,2011_Census_Total_Married_in_a_registered_marriage_Females,2011_Census_Total_Married_in_a_de_facto_marriage_Males,2011_Census_Total_Married_in_a_de_facto_marriage_Females,2011_Census_Total_Not_Married_Males,2011_Census_Total_Not_Married_Females,2011_Census_Total_Total_Males,2011_Census_Total_Total_Females,2011_Census_Total_Total_Persons
10501,118,148,304,274,578,109,61,0,0,88,156,197,217,414,29,12,0,3,49,114,78,129,207,3512,3529,1160,1172,3934,3412,8606,8113,16719
10502,93,227,304,382,686,147,89,5,0,83,224,235,313,548,60,25,0,0,63,163,123,188,311,3251,3313,818,857,3156,3484,7225,7654,14879
10503,259,531,814,957,1771,401,240,12,0,200,451,613,691,1304,180,82,6,0,138,448,324,530,854,10991,11371,2305,2435,8410,10140,21706,23946,45652
10601,226,486,821,905,1726,324,220,6,5,189,524,519,749,1268,155,60,6,0,146,463,307,523,830,14331,14589,3144,3248,10987,11573,28462,29410,57872
10602,134,380,622,765,1387,292,168,11,6,107,441,410,615,1025,153,84,3,0,111,414,267,498,765,11899,12182,2273,2359,8075,9481,22247,24022,46269
10603,229,529,1053,1150,2203,518,310,15,4,182,484,715,798,1513,242,124,7,3,175,501,424,628,1052,12725,12965,2303,2358,8396,9743,23424,25066,48490
10604,79,194,295,359,654,126,79,0,0,79,175,205,254,459,68,22,3,0,48,174,119,196,315,5008,5073,1226,1250,3910,3782,10144,10105,20249
10701,247,617,1098,1245,2343,497,320,10,9,247,554,754,883,1637,218,91,10,7,175,471,403,569,972,13494,13662,1959,2003,10468,11518,25921,27183,53104
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
10703,221,621,1030,1208,2238,534,298,11,6,212,626,757,930,1687,235,136,4,3,174,545,413,684,1097,16256,16536,2416,2514,10894,12750,29566,31800,61366
10704,364,926,1488,1807,3295,800,524,6,4,292,1012,1098,1540,2638,477,223,6,3,326,1042,809,1268,2077,21188,21496,3655,3786,19031,20637,43874,45919,89793
10801,209,313,714,753,1467,385,249,9,7,193,346,587,602,1189,191,103,6,3,138,355,335,461,796,5625,5725,969,996,3992,4776,10586,11497,22083
10802,243,424,795,791,1586,326,253,14,6,204,422,544,681,1225,234,105,8,8,179,431,421,544,965,7801,7886,1643,1727,6752,7592,16196,17205,33401
10803,4,0,7,3,10,4,3,0,0,0,0,4,3,7,0,0,0,0,0,3,0,3,3,61,64,12,13,35,36,108,113,221
10804,314,741,1472,1660,3132,789,506,22,12,268,795,1079,1313,2392,404,197,9,3,306,857,719,1057,1776,14078,14339,2403,2454,8842,11543,25323,28336,53659
10805,244,486,925,975,1900,459,273,15,5,192,481,666,759,1425,228,91,0,0,171,460,399,551,950,9508,9619,1722,1748,6658,8015,17888,19382,37270
10901,153,418,593,785,1378,339,194,3,4,164,417,506,615,1121,164,81,3,0,114,424,281,505,786,9826,10031,1896,1961,7838,9362,19560,21354,40914
10902,57,77,183,171,354,67,40,0,0,47,69,114,109,223,25,10,0,3,22,75,47,88,135,2276,2326,434,452,1636,1536,4346,4314,8660
10903,190,360,746,768,1514,384,236,10,4,185,353,579,593,1172,180,80,0,3,157,342,337,425,762,7851,7932,1340,1364,5224,5272,14415,14568,28983
11001,86,276,377,471,848,172,106,0,0,106,269,278,375,653,98,54,0,0,62,233,160,287,447,5955,6036,1189,1229,4491,5440,11635,12705,24340
11002,177,332,615,632,1247,252,135,3,7,111,372,366,514,880,109,48,4,0,91,336,204,384,588,6774,6862,1285,1324,4910,5467,12969,13653,26622
11003,98,159,281,274,555,91,62,0,3,49,150,140,215,355,50,21,0,3,46,133,96,157,253,4162,4194,1017,1047,3395,3321,8574,8562,17136
11004,271,606,1076,1155,2231,461,280,10,6,203,631,674,917,1591,223,91,5,3,182,628,410,722,1132,13430,13724,2577,2695,9805,11714,25812,28133,53945
11101,382,1025,1661,2025,3686,884,609,19,10,374,1059,1277,1678,2955,504,235,6,6,346,1045,856,1286,2142,22426,22873,3549,3652,16082,19123,42057,45648,87705
11102,257,536,1001,1090,2091,504,337,3,3,232,543,739,883,1622,281,158,4,3,206,536,491,697,1188,13092,13331,2290,2409,9358,10739,24740,26479,51219
11103,453,1260,1701,2239,3940,851,668,13,10,496,1394,1360,2072,3432,548,263,11,0,434,1429,993,1692,2685,24694,25107,5931,6147,25172,28212,55797,59466,115263
11201,242,608,950,1187,2137,544,360,10,9,263,669,817,1038,1855,342,148,10,5,245,706,597,859,1456,11994,12241,2976,3079,10359,12619,25329,27939,53268
11202,232,512,859,994,1853,437,261,8,3,169,563,614,827,1441,206,92,3,0,173,567,382,659,1041,11239,11393,2721,2813,10046,11562,24006,25768,49774
11203,424,931,1610,1923,3533,919,561,27,17,359,869,1305,1447,2752,473,240,11,5,361,929,845,1174,2019,14927,15265,2997,3157,11815,14537,29739,32959,62698
11301,161,328,599,646,1245,281,139,3,5,124,348,408,492,900,121,61,0,0,99,304,220,365,585,8343,8430,1350,1382,6057,6207,15750,16019,31769
11302,54,103,212,203,415,77,53,3,4,57,114,137,171,308,58,23,3,3,28,112,89,138,227,2580,2616,591,603,1911,1791,5082,5010,10092
11303,257,619,1018,1209,2227,496,302,7,3,247,682,750,987,1737,271,123,0,0,186,683,457,806,1263,15528,15792,2874,3013,11338,13215,29740,32020,61760
11401,441,881,1760,1883,3643,866,593,25,11,367,850,1258,1454,2712,449,185,9,3,327,801,785,989,1774,17077,17369,2982,3109,12005,14030,32064,34508,66572
11402,149,406,757,809,1566,363,208,8,0,115,367,486,575,1061,188,94,5,0,118,395,311,489,800,8637,8793,1326,1342,5098,6682,15061,16817,31878
11501,171,574,1079,1184,2263,582,334,4,6,157,645,743,985,1728,287,129,3,0,181,692,471,821,1292,30397,30998,1789,1844,16058,18975,48244,51817,100061
11502,50,116,282,254,536,144,81,0,0,66,148,210,229,439,84,40,3,3,52,171,139,214,353,5472,5563,470,494,3310,3538,9252,9595,18847
11503,43,85,188,189,377,83,43,3,0,29,65,115,108,223,45,17,0,3,27,92,72,112,184,4809,4890,714,724,3022,2885,8545,8499,17044
11504,37,81,144,155,299,58,35,3,4,21,73,82,112,194,30,11,3,3,19,77,52,91,143,5779,5878,534,540,3054,3112,9367,9530,18897
