Level,Code,Label,Area sqkm,,,
IARE,IARE401016,Port Adelaide - Enfield,100.63,,,
IARE,IARE401017,Renmark Paringa,915.865,,,
IARE,IARE401018,Salisbury,157.433,,,
IARE,IARE401019,South-East,21336.97,,,
IARE,IARE401020,Tea Tree Gully,94.2965,,,
IARE,IARE401021,Unley - Burnside - Mitcham,117.337,,,
IARE,IARE401022,Wakefield - Clare and Gilbert Valleys,5327.92,,,
IARE,IARE401023,Yorke Peninsula,8393.57,,,
IARE,IARE402001,Anangu Pitjantjatjara,102331.51,,,
IARE,IARE402002,Coober Pedy - Umoona,77.6799,,,
IARE,IARE402003,Eyre,519801.15,,,
IARE,IARE402004,Flinders,25284.78,,,
IARE,IARE402005,Port Augusta,1152.07,,,
IARE,IARE402006,Whyalla,21225.01,,,
IARE,IARE403001,Ceduna,5163.13,,,
IARE,IARE403002,Ceduna - West Coast,223835.83,,,
IARE,IARE403003,Port Lincoln,40.3371,,,
IARE,IARE494994,No Usual Address (SA),0,,,
IARE,IARE497997,Migratory - Offshore - Shipping (SA),0,,,
IARE,IARE501001,Broome,262.83,,,
IARE,IARE501002,Broome - Surrounds,55390.11,,,
IARE,IARE502001,Carnarvon - Mungullah,78.179,,,
IARE,IARE502002,Carnegie South - Mount Magnet,133090.77,,,
IARE,IARE502003,Central West Coast,26201.28,,,
IARE,IARE502004,Geraldton,288.091,,,
IARE,IARE502005,Irwin - Morawa,25834.51,,,
IARE,IARE502006,Meekathara - Karalundi,100120.81,,,
IARE,IARE502007,Shark Bay - Coral Bay - Upper Gascoyne,128507.65,,,
IARE,IARE503001,Esperance - Ravensthorpe,55888.11,,,
IARE,IARE503002,Kalgoorlie - Dundas - Goldfields,217989.94,,,
IARE,IARE503003,Kalgoorlie - Ningia Mia,102.705,,,
IARE,IARE503004,Laverton - Ngaanyatjarraku,340248.74,,,
IARE,IARE503005,Menzies - Leonora,156470.36,,,
IARE,IARE503006,Warburton,21.5057,,,
IARE,IARE503007,Wiluna,181294.37,,,
IARE,IARE504001,Argyle - Warmun,19028.88,,,
IARE,IARE504002,Great Sandy Desert,104475.51,,,
IARE,IARE504003,Halls Creek,45.1726,,,
IARE,IARE504004,Halls Creek - Surrounds,30816.6,,,
IARE,IARE504005,Kalumburu,4.0879,,,
