region_id,2011_Census_85_years_and_over_Speaks_other_language_and_speaks_English_Total,2011_Census_85_years_and_over_Language_and_proficiency_in_English_not_stated,2011_Census_85_years_and_over_Total,2011_Census_Total_Speaks_English_only,2011_Census_Total_Speaks_other_language_and_speaks_English_Very_well_or_well,2011_Census_Total_Speaks_other_language_and_speaks_English_Not_well_or_not_at_all,2011_Census_Total_Speaks_other_language_and_speaks_English_Proficiency_in_English_not_stated,2011_Census_Total_Speaks_other_language_and_speaks_English_Total,2011_Census_Total_Language_and_proficiency_in_English_not_stated,2011_Census_Total_Total
21103,211,206,2352,86013,10484,2401,185,13070,2432,101515
21104,213,209,1398,38945,12994,2698,159,15851,1500,56296
21105,255,243,1921,127856,7712,1028,178,8918,4260,141034
21201,72,40,831,65269,4611,572,101,5284,2447,73000
21202,329,83,1538,79786,33074,5760,535,39369,3740,122895
21203,168,62,946,86467,30716,5578,502,36796,3909,127172
21204,1289,122,2980,62172,73840,24069,1376,99285,6954,168411
21205,858,205,3721,83561,60804,11163,727,72694,5084,161339
21301,1214,187,2042,63396,77044,22587,1342,100973,9397,173766
21302,493,89,1569,52171,18729,3994,270,22993,3326,78490
21303,388,105,1144,35415,23346,7117,400,30863,5196,71474
21304,162,56,888,85335,28326,3921,468,32715,5655,123705
21305,276,128,1125,105475,43156,7421,741,51318,7709,164502
21401,228,312,2301,106445,11532,1486,178,13196,5481,125122
21402,223,629,4079,126765,6430,766,106,7302,6046,140113
21501,32,123,1770,54044,1578,188,39,1805,2269,58118
21502,108,70,1120,43903,3784,974,73,4831,2215,50949
21503,45,76,1031,32344,2155,570,84,2809,1463,36616
21601,74,65,908,33353,906,137,21,1064,1328,35745
21602,25,48,789,25010,1162,218,22,1402,1262,27674
21603,183,85,1257,48553,5931,1730,134,7795,2883,59231
21701,29,42,960,33202,828,72,13,913,1088,35203
21702,65,226,2025,77653,1966,303,43,2312,3033,82998
29797,0,0,0,802,70,0,3,73,47,922
30101,174,40,1032,62225,4363,545,104,5012,1651,68888
30102,116,132,1742,68985,3699,371,57,4127,2393,75505
30103,63,56,1216,56623,4829,599,92,5520,2112,64255
30201,54,49,768,31562,4303,502,54,4859,946,37367
30202,143,346,1940,54970,7017,1093,106,8216,2902,66088
30203,62,33,708,27728,4347,642,112,5101,1456,34285
30204,87,123,1196,44413,4949,670,87,5706,2011,52130
30301,102,48,953,37918,6340,886,70,7296,1192,46406
