region_id,2011_Census_Total_Family_households_Total,2011_Census_Total_Lone_person_household,2011_Census_Total_Group_household,2011_Census_Total_Other_household,2011_Census_Total_Total
60201,20409,9284,1348,1017,32058
60202,6241,2168,159,321,8889
60203,10170,3940,282,602,14994
60301,3130,1063,74,198,4465
60302,5041,1702,159,244,7146
60303,1779,815,70,166,2830
60401,13104,5394,414,567,19479
60402,11894,4480,408,531,17313
60403,4821,1977,147,423,7368
69797,0,0,0,0,0
70101,4903,2282,947,1383,9515
70102,11933,3394,988,2265,18580
70103,4265,1037,180,1527,7009
70104,6808,1543,449,797,9597
70201,7226,2592,593,2171,12582
70202,970,328,65,454,1817
70203,2499,788,89,1159,4535
70204,2178,406,56,293,2933
70205,3260,949,160,1654,6023
79797,0,0,0,0,0
80101,24083,7407,1871,1316,34677
80102,136,38,10,17,201
80103,243,284,19,45,591
80104,12664,2568,752,506,16490
80105,10007,5671,2062,1535,19275
80106,6003,2963,722,744,10432
80107,23944,5534,860,791,31129
80108,6252,2087,282,197,8818
80109,8650,3692,623,459,13424
89797,0,0,0,0,0
90101,339,110,17,97,563
90102,131,9,0,11,151
90103,67,17,0,13,97
99797,3,0,0,0,3
