region_id,2011_Census_All_incomes_not_stated_One_parent_family_with_One_child,2011_Census_All_incomes_not_stated_One_parent_family_with_Two_children,2011_Census_All_incomes_not_stated_One_parent_family_with_Three_children,2011_Census_All_incomes_not_stated_One_parent_family_with_Four_or_more_children,2011_Census_All_incomes_not_stated_One_parent_family_with_Total,2011_Census_Total_One_parent_family_with_One_child,2011_Census_Total_One_parent_family_with_Two_children,2011_Census_Total_One_parent_family_with_Three_children,2011_Census_Total_One_parent_family_with_Four_or_more_children,2011_Census_Total_One_parent_family_with_Total
20803,69,20,5,3,97,2666,1280,340,80,4366
20804,9,3,3,3,18,630,300,90,22,1042
20901,78,42,9,6,135,2996,1434,454,138,5022
20902,93,32,6,6,137,2469,1025,306,120,3920
20903,22,13,3,0,38,1046,735,220,58,2059
20904,120,80,31,9,240,3804,2360,877,291,7332
21001,48,13,5,3,69,1339,755,197,34,2325
21002,19,0,0,0,19,425,265,110,36,836
21003,54,15,8,9,86,1858,805,252,106,3021
21004,28,8,3,3,42,897,535,180,57,1669
21005,110,68,28,28,234,3149,2061,845,422,6477
21101,89,49,17,6,161,3393,2033,625,193,6244
21102,7,4,0,0,11,388,235,74,19,716
21103,72,31,7,4,114,2660,1423,430,131,4644
21104,32,6,5,0,43,1298,634,157,58,2147
21105,85,39,17,3,144,3294,1948,655,195,6092
21201,48,23,12,3,86,1509,942,378,142,2971
21202,80,47,11,11,149,2664,1717,605,275,5261
21203,107,55,14,13,189,2830,1869,734,295,5728
21204,150,92,23,38,303,4658,2422,739,392,8211
21205,94,26,10,5,135,3566,1724,422,113,5825
21301,187,114,56,35,392,4764,2879,1115,507,9265
21302,55,26,8,3,92,2081,985,298,71,3435
21303,46,16,6,10,78,1763,876,234,111,2984
21304,93,60,18,12,183,2743,1861,703,315,5622
21305,108,40,21,33,202,3716,2331,889,386,7322
21401,125,59,21,8,213,3907,2118,706,235,6966
21402,93,48,14,11,166,3336,1886,644,184,6050
21501,49,18,12,3,82,1310,607,230,108,2255
21502,56,31,17,9,113,1244,766,305,135,2450
21503,31,17,5,7,60,710,372,153,75,1310
21601,28,13,3,0,44,840,436,197,72,1545
21602,25,5,0,3,33,578,283,115,60,1036
21603,69,20,24,3,116,1377,812,359,154,2702
21701,24,10,8,4,46,811,366,151,45,1373
21702,64,23,10,6,103,1892,944,381,155,3372
29797,0,0,0,0,0,0,0,0,0,0
30101,34,23,3,3,63,1683,954,305,110,3052
30102,53,11,8,4,76,1636,902,296,146,2980
30103,36,18,3,0,57,1756,956,253,93,3058
30201,16,7,3,0,26,823,404,122,26,1375
30202,59,31,9,3,102,1833,808,273,91,3005
30203,18,9,7,0,34,934,379,110,43,1466
30204,35,16,7,4,62,1606,710,228,89,2633
30301,31,9,0,0,40,1114,535,147,54,1850
30302,39,13,3,3,58,1446,601,122,55,2224
30303,45,15,9,0,69,1516,719,234,89,2558
30304,15,13,3,0,31,888,400,122,46,1456
30305,28,21,7,3,59,1094,665,212,118,2089
30306,19,8,3,4,34,1082,554,171,74,1881
30401,13,0,0,0,13,590,353,108,32,1083
30402,10,6,0,0,16,639,422,142,37,1240
30403,8,4,3,0,15,759,343,80,21,1203
30404,26,14,7,4,51,1086,590,188,58,1922
30501,17,4,0,0,21,877,291,62,11,1241
30502,16,6,0,0,22,789,323,75,18,1205
30503,27,11,0,0,38,1504,598,143,32,2277
30504,19,9,3,0,31,906,385,98,23,1412
30601,22,12,5,0,39,1170,636,229,58,2093
30602,105,63,40,33,241,2694,1446,563,371,5074
30603,41,12,8,3,64,840,423,156,118,1537
30604,13,3,0,3,19,240,106,34,13,393
30605,45,22,14,3,84,992,477,217,103,1789
30701,33,23,3,3,62,750,396,137,82,1365
30702,33,15,9,0,57,775,376,177,101,1429
30703,29,24,4,4,61,867,425,189,101,1582
30801,15,10,0,3,28,372,217,80,58,727
30802,48,23,13,3,87,1350,651,274,106,2381
30803,114,39,18,13,184,2689,1359,559,240,4847
30901,35,21,3,0,59,1663,631,165,41,2500
30902,39,13,7,3,62,1580,729,209,70,2588
30903,54,17,3,0,74,1978,790,208,54,3030
30904,13,0,0,0,13,368,187,55,29,639
30905,16,9,0,0,25,689,430,144,49,1312
30906,42,22,3,3,70,1602,925,295,99,2921
30907,33,22,10,5,70,1893,1231,470,169,3763
30908,26,6,3,3,38,1235,771,207,61,2274
30909,44,18,6,3,71,1656,758,199,67,2680
30910,13,9,3,0,25,830,292,71,15,1208
31001,53,28,15,12,108,1791,1027,379,211,3408
31002,41,20,14,6,81,1274,658,283,145,2360
31003,79,37,13,16,145,2609,1519,594,306,5028
31004,39,30,14,12,95,1787,1027,447,265,3526
31101,10,5,3,3,21,319,157,86,35,597
31102,37,24,6,4,71,1247,680,230,134,2291
31103,79,35,17,13,144,1983,1148,492,273,3896
31104,28,12,0,0,40,632,323,149,60,1164
31105,41,14,3,6,64,1408,817,315,123,2663
31106,87,48,17,25,177,2484,1251,506,319,4560
31201,19,14,8,3,44,510,237,94,50,891
31202,82,41,7,4,134,2240,1121,453,175,3989
31203,16,5,0,0,21,359,171,45,29,604
31301,21,12,6,3,42,749,385,134,57,1325
31302,62,39,25,12,138,1703,1025,457,248,3433
31303,8,3,3,3,17,231,137,54,20,442
31304,45,25,16,7,93,1453,810,336,167,2766
31305,40,16,10,3,69,1821,823,268,112,3024
31401,36,14,3,0,53,1320,874,249,75,2518
31402,23,17,6,4,50,1166,749,243,76,2234
31403,35,12,9,3,59,1029,533,172,81,1815
31501,48,14,6,8,76,771,386,196,166,1519
31502,39,9,13,7,68,593,286,161,123,1163
31503,20,13,3,3,39,398,153,82,48,681
31601,17,3,0,4,24,957,560,172,64,1753
31602,48,21,8,3,80,1766,922,289,83,3060
31603,31,16,7,0,54,1559,710,192,65,2526
