region_id,2011_Census_All_incomes_not_stated_Rent_100_149,2011_Census_All_incomes_not_stated_Rent_150_199,2011_Census_All_incomes_not_stated_Rent_200_224,2011_Census_All_incomes_not_stated_Rent_225_274,2011_Census_All_incomes_not_stated_Rent_275_349,2011_Census_All_incomes_not_stated_Rent_350_449,2011_Census_All_incomes_not_stated_Rent_450_549,2011_Census_All_incomes_not_stated_Rent_550_649,2011_Census_All_incomes_not_stated_Rent_650_or_more,2011_Census_All_incomes_not_stated_Rent_Not_stated,2011_Census_All_incomes_not_stated_Rent_Total,2011_Census_Total_Rent_0_74,2011_Census_Total_Rent_75_99,2011_Census_Total_Rent_100_149,2011_Census_Total_Rent_150_199,2011_Census_Total_Rent_200_224,2011_Census_Total_Rent_225_274,2011_Census_Total_Rent_275_349,2011_Census_Total_Rent_350_449,2011_Census_Total_Rent_450_549,2011_Census_Total_Rent_550_649,2011_Census_Total_Rent_650_or_more,2011_Census_Total_Rent_Not_stated,2011_Census_Total_Rent_Total
11201,27,22,5,20,13,27,11,8,17,61,240,534,313,550,774,579,1029,1771,2106,704,255,267,288,9170
11202,31,30,19,17,21,4,0,0,3,48,207,579,347,858,1272,807,1290,1401,403,52,10,39,274,7332
11203,25,24,14,21,39,35,11,6,5,61,299,439,373,641,779,590,1180,2457,2197,527,143,153,337,9816
11301,36,36,15,7,4,0,0,0,3,35,184,740,252,933,1282,600,554,237,119,9,10,31,240,5007
11302,11,11,0,0,4,0,0,0,0,13,44,245,91,287,378,171,153,93,15,3,0,18,66,1520
11303,46,47,14,19,10,7,3,0,3,61,270,922,530,1229,1833,1019,1418,1399,638,135,27,66,378,9594
11401,34,35,26,38,18,5,3,0,8,53,259,564,363,956,1490,1239,1950,1561,529,57,26,85,290,9110
11402,6,23,6,7,11,3,0,4,3,16,93,288,35,271,436,282,584,718,545,185,73,68,138,3623
11501,0,0,0,3,9,12,9,6,12,29,84,259,63,115,107,117,149,321,1346,1655,802,813,250,5997
11502,4,0,0,0,0,0,5,0,0,9,24,197,11,44,59,56,76,137,200,147,98,135,70,1230
11503,0,5,0,0,5,0,0,0,0,0,15,137,15,45,98,59,105,157,156,68,36,29,52,957
11504,0,0,0,4,0,3,3,0,0,7,17,83,3,27,51,62,71,124,184,224,249,120,50,1248
11601,38,33,8,19,45,43,7,0,8,83,362,695,1004,877,829,482,1088,3060,3233,480,74,95,469,12386
11602,4,0,4,4,8,13,9,5,0,19,78,159,73,118,209,175,269,680,1462,958,551,149,146,4949
11603,46,32,25,26,53,28,0,0,0,82,383,524,774,1188,1189,914,1337,2903,1668,177,32,79,468,11253
11701,8,6,3,6,11,16,6,5,5,36,151,305,547,315,245,111,293,884,1138,512,540,266,216,5372
11702,6,10,6,14,12,18,12,3,4,22,129,252,216,246,324,339,677,1481,1939,1214,727,600,220,8235
11703,45,49,18,21,101,152,138,100,245,251,1357,1913,2692,1486,1239,836,1836,3771,6710,8010,6783,9545,1626,46447
11801,11,4,6,5,43,48,44,41,89,105,446,706,249,247,217,250,612,1498,3405,3990,3052,5968,660,20854
11802,30,29,8,9,28,62,73,48,67,119,574,946,1188,781,642,388,640,1504,4479,4792,2558,3076,766,21760
11901,37,29,10,21,31,70,15,9,8,131,506,998,1368,1188,975,482,820,2345,4040,1383,331,160,662,14752
11902,15,13,11,31,91,60,13,9,9,66,350,558,500,545,620,540,1724,4606,2883,1218,378,212,523,14307
11903,20,15,7,8,25,36,23,3,6,79,305,667,817,601,553,316,674,1852,3239,1709,576,358,526,11888
11904,13,3,3,14,31,61,28,3,3,60,259,568,334,339,367,314,642,2384,4704,2375,740,462,490,13719
12001,8,3,0,0,8,21,14,9,16,32,130,360,296,239,180,171,177,520,1584,2214,1669,1420,259,9089
12002,3,3,0,6,8,7,9,15,17,37,126,304,399,241,259,193,399,775,1189,1417,1416,1949,245,8786
12003,13,15,11,16,37,73,31,15,7,64,314,615,418,478,596,450,1020,3147,6088,3158,1109,808,598,18485
12101,3,4,3,7,9,25,31,21,58,64,251,493,275,221,188,130,226,688,2794,3069,1634,2627,407,12752
12102,7,5,3,3,8,16,10,3,3,39,117,284,197,234,221,152,311,674,2113,1465,376,231,203,6461
12103,4,0,0,3,0,6,9,18,23,20,86,279,64,83,64,51,103,229,595,874,839,2142,180,5503
12104,10,4,3,3,17,45,44,31,90,54,337,493,256,153,180,175,322,1418,4129,3943,2421,3992,461,17943
12201,3,3,0,3,10,18,23,7,23,19,125,176,105,92,94,73,96,316,952,1070,788,1721,163,5646
12202,0,3,5,3,4,4,8,0,13,33,78,242,6,33,55,101,140,303,626,597,470,1067,134,3774
12203,16,7,7,6,24,33,30,26,25,67,287,564,388,406,250,210,368,1140,3252,2544,1445,2265,453,13285
12301,3,4,3,4,8,5,5,0,3,16,55,93,126,88,85,79,181,554,1030,523,103,36,95,2993
12302,40,38,21,36,65,19,0,5,6,113,438,661,1071,1416,1370,910,2106,3754,2104,370,60,76,592,14490
12303,0,10,4,6,5,3,3,0,0,16,54,224,23,119,178,151,345,448,312,104,38,43,98,2083
12401,13,14,10,5,16,3,0,0,0,29,103,255,68,311,472,447,961,1541,878,227,50,52,173,5435
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,20,10,17,21,49,25,3,4,9,74,280,503,520,528,734,862,1534,3514,2108,448,121,92,400,11364
12404,14,11,3,9,16,14,0,0,0,23,100,185,94,279,366,386,558,1192,758,121,25,37,140,4141
12405,8,9,8,13,25,9,0,0,0,43,134,170,207,221,267,250,613,1436,1020,87,14,25,181,4491
12501,4,8,6,18,48,56,25,6,5,41,241,319,226,304,322,223,679,1731,2567,1419,406,217,337,8750
12502,17,9,0,4,3,12,9,4,7,40,152,425,574,477,296,184,226,471,1372,903,317,163,256,5664
12503,40,30,19,16,28,57,19,3,4,114,414,831,1112,1064,953,556,1117,3034,3882,923,172,120,622,14386
12504,27,16,14,28,54,58,21,6,14,98,401,637,899,763,734,468,1055,4342,6676,1620,323,197,626,18340
12601,0,0,0,3,3,4,3,5,8,15,41,153,44,56,99,48,79,256,958,704,360,289,125,3171
12602,17,13,3,11,25,38,28,12,15,80,299,667,688,593,485,319,734,2378,4076,2167,1047,928,525,14607
12701,14,14,10,5,19,31,4,3,4,66,210,463,470,547,405,239,386,918,1481,608,127,69,302,6015
12702,39,26,31,43,57,77,11,0,8,96,451,789,815,1175,1201,951,2086,3344,3722,688,129,114,665,15679
12703,27,14,14,29,44,22,16,0,0,73,299,538,622,620,647,693,1425,2317,2358,856,135,91,403,10705
12801,9,9,4,12,9,29,10,9,9,61,186,402,378,297,332,347,586,1595,2876,1472,749,669,301,10004
12802,11,0,4,3,7,15,8,4,0,32,107,253,274,238,234,164,260,848,1783,899,397,260,179,5789
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,54,45,16,29,11,3,4,0,3,63,273,473,567,1437,2117,1415,2364,1302,422,66,29,53,380,10625
20102,6,9,4,0,3,0,0,0,0,10,42,235,100,249,308,209,264,172,28,12,3,12,64,1656
20103,20,17,5,3,0,0,0,0,3,18,77,240,133,393,531,144,111,25,9,3,0,14,90,1693
20201,26,40,24,22,22,8,4,0,3,62,250,431,558,1108,2049,1235,2105,1354,390,70,26,70,334,9730
20202,14,12,4,6,3,5,0,0,3,24,90,317,153,325,522,329,481,372,137,39,3,22,130,2830
20203,5,3,0,0,0,0,0,0,3,9,24,218,56,163,128,26,24,15,3,3,6,3,44,689
20301,0,0,0,3,3,0,0,0,3,6,19,115,15,74,96,90,108,92,31,12,3,9,36,681
20302,79,77,28,55,44,8,3,0,11,143,508,932,910,1963,2839,1966,3540,3425,1514,305,76,153,693,18316
20303,9,7,5,18,17,6,0,0,3,23,103,379,76,211,422,442,962,1160,814,253,39,64,148,4970
20401,28,19,12,16,4,0,0,0,3,48,169,511,217,603,1002,551,658,330,104,24,9,42,275,4326
20402,19,31,16,4,0,0,0,0,4,32,135,362,304,682,1148,566,548,249,51,7,3,28,195,4143
20403,20,30,10,9,11,6,0,0,6,65,193,550,424,909,1489,930,1246,837,262,55,29,249,354,7334
20501,8,14,12,15,6,0,0,0,3,47,128,303,156,437,584,417,676,453,69,12,12,18,156,3293
20502,18,24,15,5,3,3,0,3,3,33,149,460,271,580,948,531,604,321,99,21,3,43,155,4036
20503,10,21,10,8,14,12,0,0,4,48,159,593,252,463,899,703,922,624,405,162,38,94,316,5471
20504,56,61,14,9,8,0,0,0,3,69,270,468,622,1623,2080,663,767,509,152,19,14,43,275,7235
20505,24,25,9,11,3,0,0,0,0,15,114,415,204,666,940,404,459,299,88,16,7,25,139,3662
20601,13,13,15,22,17,17,3,3,3,57,192,424,354,348,630,750,1459,2629,3096,1317,415,284,424,12130
20602,16,13,4,9,11,7,8,0,0,36,133,258,309,255,438,508,1097,1444,1509,916,304,226,232,7496
20603,25,26,8,3,10,13,4,3,3,53,196,475,610,618,675,566,1048,1920,1877,618,228,188,342,9165
20604,20,28,20,89,235,216,155,88,163,159,1260,934,680,671,782,518,1548,3946,6745,4967,2343,2582,920,26636
20605,20,28,12,23,59,76,42,23,52,101,494,663,917,662,900,711,2088,4035,5610,3102,1598,2113,621,23020
20606,7,15,4,30,38,28,8,16,25,51,264,414,441,337,405,283,1197,2380,3124,1633,933,1163,359,12669
20607,27,23,7,24,15,16,10,9,7,73,285,666,1000,1043,835,479,1325,1878,3115,2884,1440,1206,547,16418
20701,14,21,15,25,44,30,17,4,16,61,269,729,270,427,554,444,1112,3331,4298,2047,995,1673,500,16380
20702,3,3,0,4,14,20,10,5,0,20,88,307,61,116,122,128,292,1150,1760,742,239,179,212,5308
20703,10,12,4,23,14,28,10,0,3,50,167,524,276,506,421,288,944,2132,2434,819,244,241,386,9215
20801,19,6,3,11,8,17,10,7,13,53,162,427,352,359,248,157,363,977,1473,907,564,1320,263,7410
20802,18,18,11,22,38,45,21,8,7,66,276,669,272,510,690,876,2130,3592,4137,1790,722,817,543,16748
20803,13,14,12,24,31,13,3,3,5,53,208,421,344,452,643,663,1501,2601,2011,775,254,226,321,10212
20804,6,3,3,29,16,18,3,0,3,22,106,147,71,128,144,150,611,1037,1206,460,213,385,144,4696
20901,18,12,6,18,32,24,3,0,5,74,225,516,549,582,569,495,1258,3089,2137,545,151,179,439,10509
20902,29,21,11,32,52,27,8,3,3,92,340,472,569,619,724,656,1644,3328,1825,311,78,162,471,10859
20903,6,5,0,3,4,8,0,0,3,15,50,182,70,140,112,78,167,438,466,170,44,50,101,2018
20904,12,14,11,17,64,26,4,0,5,70,234,469,122,314,484,475,1590,4068,2112,213,45,147,447,10486
21001,7,0,3,0,15,9,3,0,3,15,58,171,39,76,126,140,425,1210,775,164,33,49,114,3322
21002,3,4,3,0,5,3,0,0,0,0,21,120,40,76,102,94,194,254,175,44,3,12,32,1146
21003,11,12,3,12,39,17,0,0,3,55,169,437,214,279,409,352,1002,2282,1247,136,16,107,247,6728
21004,4,4,3,3,14,0,0,0,3,15,54,91,45,82,176,227,541,755,284,35,6,14,73,2329
21005,14,19,13,23,58,14,0,3,0,72,241,403,263,455,576,486,1296,3374,1071,100,35,93,405,8557
