region_id,2011_Census_Other_tenure_type_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Other_tenure_type_Dwelling_structure_Other_dwelling,2011_Census_Other_tenure_type_Dwelling_structure_Not_stated,2011_Census_Other_tenure_type_Total,2011_Census_Tenure_type_not_stated_Dwelling_structure_Separate_house,2011_Census_Tenure_type_not_stated_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,2011_Census_Tenure_type_not_stated_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Tenure_type_not_stated_Dwelling_structure_Other_dwelling,2011_Census_Tenure_type_not_stated_Dwelling_structure_Not_stated,2011_Census_Tenure_type_not_stated_Total,2011_Census_Total_Dwelling_structure_Separate_house,2011_Census_Total_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,2011_Census_Total_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Total_Dwelling_structure_Other_dwelling,2011_Census_Total_Dwelling_structure_Not_stated,2011_Census_Total_Total
70102,5,12,0,97,1109,415,458,113,4,2099,11891,2835,2994,802,61,18583
70103,6,21,0,66,733,35,14,251,0,1033,5404,248,97,1241,16,7006
70104,0,12,0,34,642,99,129,22,0,892,7373,1031,1121,60,11,9596
70201,19,57,6,203,593,226,274,361,17,1471,7480,1609,1740,1630,121,12580
70202,0,27,4,53,124,17,22,111,4,278,1134,80,132,426,41,1813
70203,8,56,11,145,219,4,33,219,13,488,2977,26,318,1115,101,4537
70204,15,0,8,81,80,15,65,4,8,172,2291,197,378,22,49,2937
70205,6,60,10,124,329,56,125,290,15,815,3708,303,433,1442,135,6021
79797,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
80101,79,0,0,270,886,316,339,0,4,1545,26424,5174,3058,5,18,34679
80102,0,0,0,4,8,0,0,3,0,11,186,0,3,10,0,199
80103,0,3,0,6,19,0,9,24,0,52,272,27,90,203,0,592
80104,0,0,0,38,310,178,64,8,0,560,11712,4080,662,32,3,16489
80105,26,11,0,158,418,185,713,53,0,1369,9706,2739,6696,122,15,19278
80106,46,0,0,86,180,55,379,3,0,617,5476,1038,3910,6,3,10433
80107,4,0,0,170,783,152,44,0,0,979,26672,3610,831,9,7,31129
80108,16,0,0,70,162,68,15,0,0,245,7292,1194,316,6,9,8817
80109,25,0,0,76,263,68,163,0,0,494,9028,1798,2592,0,3,13421
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,0,0,0,5,16,7,60,0,0,83,212,82,262,6,0,562
90102,0,0,0,21,8,0,0,0,0,8,148,0,0,6,0,154
90103,0,0,0,3,3,0,0,4,0,7,71,0,3,11,10,95
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
