Median_age_of_persons_Census_year_2011,Median_mortgage_repayment_monthly_Census_year_2011,Median_rent_weekly_Census_year_2011,Median_total_family_income_weekly_Census_year_2011,Median_total_household_income_weekly_Census_year_2011,Median_total_personal_income_weekly_Census_year_2011,Average_household_size_Census_year_2011,Average_number_of_persons_per_bedroom_Census_year_2011
36.0,2100.0,365.0,2011.0,1871.0,740.0,3.0,1.0
32.0,2000.0,350.0,1632.0,1471.0,673.0,2.8,1.1
34.0,1733.0,310.0,1469.0,1318.0,617.0,2.7,1.1
34.0,1453.0,75.0,1021.0,1052.0,465.0,3.0,1.3
35.0,1888.0,150.0,1946.0,1532.0,791.0,2.7,1.2
43.0,1000.0,100.0,1245.0,955.0,582.0,2.4,1.1
40.0,2000.0,380.0,1398.0,1185.0,534.0,2.6,1.0
43.0,1993.0,340.0,1183.0,973.0,506.0,2.4,1.1
43.0,1820.0,310.0,1208.0,972.0,542.0,2.3,1.1
42.0,1733.0,290.0,1186.0,988.0,486.0,2.6,1.1
46.0,1907.0,350.0,1196.0,982.0,540.0,2.4,1.1
42.0,1800.0,300.0,1182.0,1021.0,490.0,2.6,1.1
36.0,1538.0,240.0,1345.0,1094.0,552.0,2.5,1.1
41.0,1300.0,160.0,1223.0,963.0,484.0,2.5,1.1
34.0,1861.0,290.0,1626.0,1368.0,652.0,2.6,1.1
43.0,1387.0,230.0,991.0,840.0,425.0,2.4,1.1
43.0,1134.0,170.0,926.0,779.0,394.0,2.4,1.1
43.0,1351.0,220.0,947.0,806.0,411.0,2.4,1.1
45.0,1517.0,250.0,904.0,782.0,397.0,2.4,1.1
45.0,1300.0,210.0,922.0,783.0,395.0,2.4,1.1
50.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0
34.0,1863.0,321.0,1868.0,1140.0,619.0,1.9,1.1
40.0,1653.0,260.0,1658.0,1384.0,627.0,2.7,1.1
43.0,2000.0,290.0,2122.0,1468.0,705.0,2.4,1.1
40.0,1600.0,260.0,1369.0,1072.0,516.0,2.5,1.1
39.0,1800.0,260.0,1677.0,1131.0,594.0,2.2,1.1
38.0,1800.0,260.0,1890.0,1365.0,661.0,2.4,1.1
39.0,1950.0,280.0,2064.0,1421.0,712.0,2.3,1.1
39.0,1517.0,230.0,1370.0,1103.0,535.0,2.6,1.1
33.0,1300.0,200.0,1062.0,890.0,451.0,2.6,1.1
35.0,1603.0,230.0,1216.0,965.0,486.0,2.4,1.1
35.0,1413.0,240.0,1198.0,1028.0,503.0,2.6,1.1
39.0,1517.0,260.0,1503.0,1245.0,590.0,2.6,1.0
45.0,1900.0,270.0,1738.0,1160.0,647.0,2.1,1.1
39.0,1601.0,245.0,1421.0,1063.0,549.0,2.3,1.1
41.0,1733.0,265.0,1816.0,1377.0,625.0,2.5,1.1
38.0,1473.0,250.0,1314.0,1081.0,540.0,2.5,1.1
41.0,1690.0,235.0,1339.0,1015.0,517.0,2.4,1.1
39.0,1517.0,210.0,1221.0,946.0,477.0,2.3,1.1
38.0,1700.0,250.0,1372.0,1022.0,549.0,2.3,1.1
41.0,1343.0,200.0,1352.0,1101.0,550.0,2.5,1.1
44.0,1060.0,150.0,1056.0,856.0,467.0,2.3,1.1
43.0,965.0,140.0,990.0,774.0,410.0,2.3,1.1
49.0,1083.0,160.0,908.0,743.0,399.0,2.2,1.1
39.0,1300.0,150.0,1224.0,936.0,511.0,2.3,1.1
38.0,1300.0,135.0,1397.0,1174.0,678.0,2.5,1.1
49.0,1300.0,200.0,974.0,815.0,441.0,2.2,1.1
40.0,1148.0,150.0,1191.0,938.0,520.0,2.4,1.1
42.0,1083.0,150.0,1009.0,814.0,445.0,2.3,1.1
56.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0
39.0,1820.0,270.0,1334.0,1090.0,565.0,2.5,1.1
37.0,1733.0,260.0,1615.0,1346.0,607.0,2.6,1.1
43.0,1304.0,150.0,1149.0,910.0,483.0,2.4,1.1
41.0,1950.0,270.0,1262.0,989.0,483.0,2.4,1.0
39.0,2817.0,400.0,2726.0,2097.0,790.0,2.6,1.1
35.0,2273.0,360.0,2419.0,1700.0,898.0,2.1,1.1
37.0,1950.0,300.0,1622.0,1284.0,645.0,2.4,1.1
40.0,1800.0,300.0,1733.0,1461.0,618.0,2.7,1.1
34.0,1950.0,320.0,1660.0,1454.0,646.0,2.8,1.1
38.0,2000.0,370.0,2036.0,1774.0,706.0,2.8,1.0
36.0,2000.0,310.0,1755.0,1342.0,672.0,2.4,1.1
32.0,2102.0,350.0,1690.0,1509.0,642.0,2.9,1.1
34.0,1850.0,290.0,1533.0,1307.0,610.0,2.7,1.1
34.0,2043.0,310.0,1695.0,1344.0,698.0,2.3,1.1
34.0,1900.0,330.0,1705.0,1380.0,575.0,2.7,1.1
33.0,1800.0,310.0,1561.0,1369.0,614.0,2.8,1.1
38.0,1976.0,320.0,1778.0,1515.0,670.0,2.7,1.0
35.0,2167.0,310.0,1762.0,1635.0,647.0,3.0,1.1
36.0,2200.0,340.0,2259.0,1605.0,770.0,2.3,1.1
34.0,2006.0,330.0,1805.0,1535.0,677.0,2.7,1.0
41.0,2167.0,300.0,1998.0,1376.0,701.0,2.3,1.1
31.0,1800.0,260.0,1451.0,1249.0,592.0,2.7,1.1
40.0,2120.0,350.0,2141.0,1627.0,682.0,2.6,1.0
34.0,2000.0,300.0,1656.0,1406.0,605.0,2.7,1.0
38.0,1517.0,190.0,1421.0,1152.0,602.0,2.5,1.1
50.0,1625.0,176.0,1436.0,975.0,539.0,2.4,1.2
32.0,1803.0,200.0,2146.0,1818.0,978.0,2.7,1.1
37.0,2383.0,128.0,1498.0,1310.0,684.0,2.9,1.3
39.0,1560.0,200.0,1384.0,1100.0,621.0,2.5,1.1
35.0,2492.0,88.0,2902.0,2690.0,1699.0,2.9,1.2
40.0,1400.0,190.0,1201.0,961.0,513.0,2.4,1.1
42.0,1300.0,135.0,1247.0,991.0,537.0,2.4,1.1
40.0,1092.0,125.0,1211.0,964.0,573.0,2.4,1.1
40.0,0.0,0.0,0.0,500.0,2000.0,0.0,0.0
33.0,1300.0,185.0,1105.0,968.0,489.0,2.7,1.1
40.0,1500.0,240.0,1394.0,1110.0,576.0,2.4,1.1
38.0,1300.0,210.0,1113.0,862.0,478.0,2.3,1.1
38.0,1520.0,280.0,1522.0,1243.0,608.0,2.6,1.1
38.0,1700.0,265.0,1782.0,1254.0,640.0,2.3,1.1
40.0,1300.0,230.0,1214.0,978.0,517.0,2.4,1.1
38.0,1300.0,200.0,1231.0,943.0,499.0,2.4,1.1
44.0,1200.0,171.0,1066.0,876.0,443.0,2.4,1.1
44.0,1100.0,150.0,997.0,811.0,423.0,2.4,1.1
42.0,1118.0,120.0,1022.0,850.0,418.0,2.5,1.1
42.0,1200.0,200.0,1055.0,867.0,445.0,2.4,1.1
50.0,1062.0,167.0,856.0,729.0,407.0,2.1,1.1
41.0,1183.0,175.0,1067.0,834.0,439.0,2.4,1.1
41.0,1257.0,190.0,1075.0,866.0,458.0,2.4,1.1
40.0,1022.0,129.0,1196.0,973.0,531.0,2.4,1.1
47.0,0.0,0.0,0.0,0.0,1179.0,0.0,0.0
36.0,2353.0,420.0,2326.0,1929.0,992.0,2.3,1.1
34.0,2040.0,330.0,1957.0,1707.0,812.0,2.7,1.2
39.0,2167.0,300.0,1993.0,1629.0,790.0,2.8,1.2
28.0,2167.0,360.0,2013.0,1804.0,888.0,2.9,1.1
33.0,1950.0,150.0,1595.0,1461.0,694.0,2.9,1.3
31.0,934.0,60.0,901.0,1152.0,397.0,3.3,1.5
30.0,1400.0,42.0,790.0,1101.0,356.0,3.6,1.6
28.0,1889.0,26.0,1294.0,2002.0,380.0,4.0,1.5
32.0,1700.0,100.0,1188.0,1255.0,500.0,3.3,1.4
42.0,0.0,0.0,0.0,0.0,1396.0,0.0,0.0
34.0,2050.0,375.0,2120.0,1799.0,853.0,2.6,1.1
22.0,2250.0,170.0,2250.0,1750.0,883.0,2.7,1.1
38.0,1400.0,200.0,1618.0,868.0,664.0,1.8,1.1
31.0,2300.0,400.0,2355.0,2166.0,1010.0,2.9,1.1
31.0,2199.0,400.0,2432.0,1818.0,858.0,2.2,1.1
39.0,2544.0,430.0,2871.0,2387.0,1187.0,2.3,1.1
34.0,2000.0,370.0,2203.0,1957.0,895.0,2.8,1.1
39.0,2145.0,345.0,2258.0,1829.0,902.0,2.5,1.0
40.0,2167.0,360.0,2390.0,1818.0,939.0,2.4,1.1
0.0,0.0,717.0,0.0,0.0,900.0,0.0,0.0
33.0,1083.0,86.0,2118.0,1835.0,1128.0,2.6,1.3
40.0,520.0,135.0,1140.0,1422.0,540.0,3.8,1.2
28.0,0.0,60.0,974.0,1187.0,705.0,3.1,1.2
0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
